"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"292742","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Little Wolf Creek(River Miles: 7.4 to 7.8)","48.30576","-114.92018","Map derived","Accurate","Fisher","17010102","1996","8","20","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292709","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Barnum Creek(River Miles: 2.6 to 2.7)","48.11833","-115.08601","Map derived","Accurate","Fisher","17010102","2002","8","30","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292718","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Bear Creek(River Miles: 3.7 to 3.8)","48.18001","-115.57209","Map derived","Accurate","Middle Kootenai","17010101","2007","7","20","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292735","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Calx Creek(River Miles: 1.5 to 1.6)","48.25292","-115.10997","Map derived","Accurate","Fisher","17010102","1993","9","1","stocked","9/1/1993-9/2/1993","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292737","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Dry Fork Creek(River Miles: 2.4 to 2.5)","48.3768","-115.05385","Map derived","Accurate","Fisher","17010102","1993","9","1","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292732","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Calx Creek(River Miles: 0.4 to 0.5)","48.2672","-115.11714","Map derived","Accurate","Fisher","17010102","2004","7","14","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292740","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Little Cherry Creek(River Miles: 1.2 to 1.3)","48.17442","-115.54593","Map derived","Accurate","Middle Kootenai","17010101","2003","7","9","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292739","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Dry Fork Creek(River Miles: 6.3 to 6.4)","48.42653","-115.08581","Map derived","Accurate","Fisher","17010102","2011","7","12","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292734","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Calx Creek(River Miles: 1.4 to 1.5)","48.25425","-115.10964","Map derived","Accurate","Fisher","17010102","2003","7","16","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292711","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Bear Creek(River Miles: 0 to 0.1)","48.18415","-115.50803","Map derived","Accurate","Middle Kootenai","17010101","1995","8","15","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"290383","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Cable Creek(River Miles: 0 to)","48.16995","-115.58489","GNIS","Accurate","Middle Kootenai","17010101","1982","8","19","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292710","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Bear Creek(River Miles: 0 to 0.1)","48.18415","-115.50803","Map derived","Accurate","Middle Kootenai","17010101","1982","8","19","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292719","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Bear Creek(River Miles: 4.7 to 4.8)","48.17003","-115.58516","Map derived","Accurate","Middle Kootenai","17010101","1982","8","19","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"290385","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Ramsey Creek(River Miles: 0 to)","48.13912","-115.53461","GNIS","Accurate","Middle Kootenai","17010101","1982","9","8","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"290386","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Weigel Creek(River Miles: 0 to)","48.47829","-114.98265","GNIS","Accurate","Fisher","17010102","1993","8","30","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292745","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Syrup Creek(River Miles: 1.3 to 1.4)","48.3406","-115.07084","Map derived","Accurate","Fisher","17010102","2006","8","2","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292746","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Syrup Creek(River Miles: 1.5 to 1.6)","48.34251","-115.07353","Map derived","Accurate","Fisher","17010102","2006","8","2","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292714","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Bear Creek(River Miles: 1 to 1.1)","48.18711","-115.52566","Map derived","Accurate","Middle Kootenai","17010101","2006","8","4","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292726","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Big Cherry Creek(River Miles: 4.9 to 5)","48.30006","-115.52735","Map derived","Accurate","Middle Kootenai","17010101","1982","8","17","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292729","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Big Cherry Creek(River Miles: 11.8 to 11.9)","48.22202","-115.57049","Map derived","Accurate","Middle Kootenai","17010101","1994","7","31","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292736","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Calx Creek(River Miles: 2.5 to 2.6)","48.24039","-115.11544","Map derived","Accurate","Fisher","17010102","2011","8","11","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292738","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Dry Fork Creek(River Miles: 3.4 to 3.5)","48.39029","-115.05904","Map derived","Accurate","Fisher","17010102","1993","9","9","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292741","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Little Wolf Creek(River Miles: 4.8 to 4.9)","48.29581","-114.95871","Map derived","Accurate","Fisher","17010102","2003","8","5","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292743","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Little Wolf Creek(River Miles: 10.3 to 10.4)","48.27916","-114.87775","Map derived","Accurate","Fisher","17010102","1993","9","14","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292744","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Miller Creek(River Miles: 3 to 3.1)","48.08254","-115.42895","Map derived","Accurate","Fisher","17010102","2002","7","31","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292747","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Trail Creek(River Miles: 0.9 to 1)","48.03452","-115.47089","Map derived","Accurate","Fisher","17010102","2002","7","31","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292748","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Wolf Creek(River Miles: 22.9 to 23)","48.36375","-115.00994","Map derived","Accurate","Fisher","17010102","2003","9","9","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292749","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","MT","Lincoln","Wolf Creek(River Miles: 24.4 to 24.5)","48.37228","-114.98251","Map derived","Accurate","Fisher","17010102","2003","9","10","stocked","","Literature","","","Freshwater","24224","Database","2012","Montana Fish, Parks, and Wildlife.","Montana Fisheries Information System (MFISH).","Montana Fish, Parks, and Wildlife","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43833","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","TX","","Guadalupe River below Canyon Reservoir","29.869266","-98.197721","Map derived","Approximate","Middle Guadalupe","12100202","1983","","","stocked","","Literature","","","Freshwater","360","Report","1992","Howells, R.G.","Annotated list of non-native fishes, mollusks, crustaceans, and aquatic plants, in Texas waters. Management Data Series No. 78.","Texas Parks and Wildlife Department","Austin, TX","13010","Report","2001","Howells, R.G.","Introduced non-native fishes and shellfishes in Texas waters: An updated list and discussion.","TPWD.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43834","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","TX","","Guadalupe River below Canyon Reservoir","29.869266","-98.197721","Map derived","Approximate","Middle Guadalupe","12100202","1986","","","stocked","","Literature","","","Freshwater","360","Report","1992","Howells, R.G.","Annotated list of non-native fishes, mollusks, crustaceans, and aquatic plants, in Texas waters. Management Data Series No. 78.","Texas Parks and Wildlife Department","Austin, TX","13010","Report","2001","Howells, R.G.","Introduced non-native fishes and shellfishes in Texas waters: An updated list and discussion.","TPWD.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43835","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","TX","","Guadalupe River below Canyon Reservoir","29.869266","-98.197721","Map derived","Approximate","Middle Guadalupe","12100202","1992","","","unknown","","Literature","","","Freshwater","360","Report","1992","Howells, R.G.","Annotated list of non-native fishes, mollusks, crustaceans, and aquatic plants, in Texas waters. Management Data Series No. 78.","Texas Parks and Wildlife Department","Austin, TX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1523954","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","TX","Comal","Canyon Reservoir Tailrace","29.8427","-98.16831","reported","Approximate","Middle Guadalupe","12100202","1983","","","failed","","Literature","","","Freshwater","30788","Web Page","2018","Texas Parks & Wildlife Department.","Lake Survey Reports","Texas Parks and Wildlife Department, Inland Fisheries Division","Austin, TX","32299","Report","2018","Ireland, P., and M. De Jesus.","Canyon Reservoir Tailrace 2017 Fisheries Management Survey Report","Texas Parks and Wildlife Department, Inland Fisheries Division","San Marcos, TX","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1523955","914","Fishes","Salmonidae","Oncorhynchus mykiss ssp.","redband trout","United States of America","TX","Comal","Canyon Reservoir Tailrace","29.8427","-98.16831","reported","Approximate","Middle Guadalupe","12100202","1986","","","failed","","Literature","","","Freshwater","30788","Web Page","2018","Texas Parks & Wildlife Department.","Lake Survey Reports","Texas Parks and Wildlife Department, Inland Fisheries Division","Austin, TX","32299","Report","2018","Ireland, P., and M. De Jesus.","Canyon Reservoir Tailrace 2017 Fisheries Management Survey Report","Texas Parks and Wildlife Department, Inland Fisheries Division","San Marcos, TX","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
